year,average
1988,54.2
1988,55.4
1988,55.8
1988,56.5
1989,57
1989,58.3
1989,58.6
1989,59.5
1990,60.3
1990,62.2
1990,63
1990,64.2
1991,64.5
1991,67.4
1991,67.9
1991,68.7
1992,69
1992,70.3
1992,70.1
1992,70.6
1993,70.6
1993,72
1993,72.1
1993,72.3
1994,72.4
1994,73.4
1994,73.3
1994,73.6
1995,74.2
1995,75.2
1995,75.4
1995,75.7
1996,76.1
1996,77.1
1996,77.1
1996,77.6
1997,77.6
1997,78.3
1997,78.6
1997,79
1998,78.8
1998,79.7
1998,79.7
1998,80.1
1999,80
1999,80.9
1999,80.7
1999,81
2000,80.7
2000,81.4
2000,81.3
2000,81.8
2001,81.4
2001,82.6
2001,82.6
2001,82.7
2002,82.6
2002,83.4
2002,83.4
2002,83.9
2003,83.9
2003,84.4
2003,84.6
2003,85
2004,84.9
2004,85.6
2004,85.6
2004,86.2
2005,86.4
2005,87.3
2005,87.7
2005,88.1
2006,88.1
2006,89.2
2006,89.8
2006,90.4
2007,90.6
2007,91.5
2007,91.4
2007,92.3
2008,92.7
2008,94.6
2008,95.8
2008,95.9
2009,95.5
2009,96.6
2009,97.2
2009,97.9
2010,98.7
2010,99.9
2010,100.2
2010,101.2
2011,102.7
2011,104.3
2011,104.9
2011,106
2012,106.3
2012,107.2
2012,107.5
2012,108.8
2013,109.3
2013,110
2013,110.4
2013,111.1
